"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"1","A&M-Corpus Christi","Texas A&M-CC","#0067C5","#007F3E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/260px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png",NA,"Southland"
"2","Abilene Christian","Abil Christian","#461D7C","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Abilene_Christian_Wildcats_logo.svg/320px-Abilene_Christian_Wildcats_logo.svg.png",NA,"WAC"
"3","Air Force","Air Force","#003087","#8A8D8F","#B1B3B3","#FFC72C","#000000",NA,"https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_Force_Falcons_logo.svg",NA,"MWC"
"4","Akron","Akron","#041E42","#A89968",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/200px-Akron_Zips_logo.svg.png",NA,"MAC"
"5","Alabama","Alabama","#9E1B32","#828A8F","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/200px-Alabama_Crimson_Tide_logo.svg.png",NA,"SEC"
"6","Alabama A&M","Alabama A&M","#660000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Alabama_A%26M_Bulldogs_logo.svg/201px-Alabama_A%26M_Bulldogs_logo.svg.png",NA,"SWAC"
"7","Alabama St.","Alabama State","#C99700","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/320px-Alabama_State_Hornets_logo.svg.png",NA,"SWAC"
"8","UAlbany","Albany","#461660","#EEB211",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Albany_Great_Danes_logo.svg/200px-Albany_Great_Danes_logo.svg.png",NA,"Am. East"
"9","Alcorn","Alcorn State","#46166A","#E9A713",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Alcorn_State_athletics_logo.svg/280px-Alcorn_State_athletics_logo.svg.png",NA,"SWAC"
"10","American","American","#C4122E","#005099",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/240px-American_Eagles_logo.svg.png",NA,"Patriot"
"11","App State","Appalachian St","#222222","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/200px-Appalachian_State_Mountaineers_logo.svg.png",NA,"Sunbelt"
"12","Arizona","Arizona","#CC0033","#003366",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/200px-Arizona_Wildcats_logo.svg.png",NA,"Pac 12"
"13","Arizona St.","Arizona State","#8C1D40","#FFC627",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Arizona_State_Sun_Devils_logo.svg/245px-Arizona_State_Sun_Devils_logo.svg.png",NA,"Pac 12"
"14","Ark.-Pine Bluff","AR-Pine Bluff","#000000","#EEB310",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg/290px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg.png",NA,"SWAC"
"15","Arkansas","Arkansas","#9D2235","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/200px-Arkansas_Razorbacks_logo.svg.png",NA,"SEC"
"16","Arkansas St.","Arkansas State","#CC092F","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/200px-Arkansas_State_Red_Wolves_wordmark.svg.png",NA,"Sunbelt"
"17","Army West Point","Army","#D4BF91","#000000","#B2B4B3",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Army_West_Point_logo.svg/206px-Army_West_Point_logo.svg.png",NA,"Patriot"
"18","Auburn","Auburn","#0C2340","#E87722",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/200px-Auburn_Tigers_logo.svg.png",NA,"SEC"
"19","Austin Peay","Austin Peay","#BA0C2F","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Austin_Peay_Governors_logo.svg/262px-Austin_Peay_Governors_logo.svg.png",NA,"A-Sun"
"20","Ball St.","Ball State","#BA0C2F","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ball_State_Cardinals_logo.svg/170px-Ball_State_Cardinals_logo.svg.png",NA,"MAC"
"21","Baylor","Baylor","#003015","#FECB00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/2018_Baylor_Athletics_Logo.png/208px-2018_Baylor_Athletics_Logo.png",NA,"Big 12"
"22","Bellarmine","Bellarmine","#752936","#4d4d4d",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/4/4e/Bellarmine_Knights_logo.svg","#c8c8c8","A-Sun"
"23","Belmont","Belmont","#002469","#C9262D",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Belmont_Bruins_logo.svg/251px-Belmont_Bruins_logo.svg.png",NA,"MVC"
"24","Bethune-Cookman","Bethune-Cookman","#6F263D","#F2A900",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bethune%E2%80%93Cookman_Wildcats_logo.svg/230px-Bethune%E2%80%93Cookman_Wildcats_logo.svg.png",NA,"SWAC"
"25","Binghamton","Binghamton","#005A43","#169B62","#BF0D3E","#B1B3B3",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Binghamton_Bearcats_logo.svg/320px-Binghamton_Bearcats_logo.svg.png",NA,"Am. East"
"26","Boise St.","Boise State","#D64309","#0033A0",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Boise_State_%22B%22_logo.svg/150px-Boise_State_%22B%22_logo.svg.png",NA,"MWC"
"27","Boston College","Boston College","#98002E","#BC9B6A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/264px-Boston_College_Eagles_logo.svg.png",NA,"ACC"
"28","Boston U.","Boston U","#CC0000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/262px-Boston_University_Terriers_logo.svg.png",NA,"Patriot"
"29","Bowling Green","Bowling Green","#FE5000","#4F2C1D","#CDA077","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Bowling_Green_Falcons_logo.svg/257px-Bowling_Green_Falcons_logo.svg.png",NA,"MAC"
"30","Bradley","Bradley","#A50000","#999999",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/200px-Bradley_Braves_logo.svg.png",NA,"MVC"
"31","Brown","Brown","#4E3629","#FFFFFF","#7C2529","#E4002B","#000000",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Brown_Bears_Athletics_logo.svg/150px-Brown_Bears_Athletics_logo.svg.png",NA,"Ivy"
"32","Bryant","Bryant","#231F20","#B09863",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/296px-Bryant_Bulldogs_logo.svg.png",NA,"Am. East"
"33","Bucknell","Bucknell","#EF5B0C","#003865",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bucknell_Bison_logo.svg/286px-Bucknell_Bison_logo.svg.png",NA,"Patriot"
"34","Buffalo","Buffalo","#005BBB","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Buffalo_Bulls_logo.svg/320px-Buffalo_Bulls_logo.svg.png",NA,"MAC"
"35","Butler","Butler","#13294B","#747678","#D1E0D7","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/245px-Butler_Bulldogs_logo.svg.png",NA,"Big East"
"36","BYU","BYU","#002255","#C5AF7D",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/BYU_Cougars_logo.svg/320px-BYU_Cougars_logo.svg.png",NA,"WCC"
"37","Cal Poly","Cal Poly","#003831","#FFE395","#B38F4F","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_Poly_Mustangs_logo.svg/175px-Cal_Poly_Mustangs_logo.svg.png",NA,"Big West"
"38","Cal St. Fullerton","CSU Fullerton","#00274C","#DC8218",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_State_Fullerton_Titans_logo.svg/200px-Cal_State_Fullerton_Titans_logo.svg.png",NA,"Big West"
"39","California","Cal","#003262","#FDB515","#3B7EA1","#C4820E",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/California_Golden_Bears_logo.svg/200px-California_Golden_Bears_logo.svg.png",NA,"Pac 12"
"40","California Baptist","Cal Baptist","#002554","#A37400","#AC451E",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/California_Baptist_Lancers_wordmark.svg/1200px-California_Baptist_Lancers_wordmark.svg.png",NA,"WAC"
"41","Campbell","Campbell","#E87722","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Campbell_Fighting_Camels_logo.svg/320px-Campbell_Fighting_Camels_logo.svg.png",NA,"Big South"
"42","Canisius","Canisius","#0C2340","#FFBA00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Canisius_Golden_Griffins.svg/216px-Canisius_Golden_Griffins.svg.png",NA,"MAAC"
"43","Central Ark.","Cent Arkansas","#4F2D7F","#818A8F",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Central_Arkansas_Athletics_logo.svg/293px-Central_Arkansas_Athletics_logo.svg.png",NA,"A-Sun"
"44","Central Conn. St.","Cent Conn St","#1A4784","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Central_Connecticut_Blue_Devils_logo.svg/264px-Central_Connecticut_Blue_Devils_logo.svg.png",NA,"NEC"
"45","Central Mich.","Cent Michigan","#6A0032","#FFC82E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Central_Michigan_Chippewas_logo.svg/200px-Central_Michigan_Chippewas_logo.svg.png",NA,"MAC"
"46","Charleston So.","Charleston So","#002855","#A89968",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Charleston_Southern_Buccaneers_logo.svg/273px-Charleston_Southern_Buccaneers_logo.svg.png",NA,"Big South"
"47","Charlotte","Charlotte","#046A38","#B9975B","#27251F",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/33/Charlotte_49ers_logo.svg",NA,"C-USA"
"48","Chattanooga","Chattanooga","#00386B","#E0AA0F",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chattanooga_Mocs_logo.svg/272px-Chattanooga_Mocs_logo.svg.png",NA,"Southern"
"49","Chicago St.","Chicago State","#006666","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Chicago_State_Cougars_logo.svg/246px-Chicago_State_Cougars_logo.svg.png",NA,"Independent"
"50","Cincinnati","Cincinnati","#E00122","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Cincinnati_Bearcats_logo.svg",NA,"AAC"
"51","Clemson","Clemson","#F56600","#522D80",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/251px-Clemson_Tigers_logo.svg.png",NA,"ACC"
"52","Cleveland St.","Cleveland State","#006747","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Cleveland_State_Vikings_logo.svg/311px-Cleveland_State_Vikings_logo.svg.png",NA,"Horizon"
"53","Coastal Carolina","C. Carolina","#006F71","#A27752","#111111",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Coastal_Carolina_Chanticleers_logo.svg/214px-Coastal_Carolina_Chanticleers_logo.svg.png",NA,"Sunbelt"
"54","Col. of Charleston","Charleston","#76232F","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/206px-College_of_Charleston_Cougars_logo.svg.png",NA,"CAA"
"55","Colgate","Colgate","#862633","#C8C7C7",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Colgate_Raiders_logo.svg/189px-Colgate_Raiders_logo.svg.png",NA,"Patriot"
"56","Colorado","Colorado","#CFB87C","#000000","#565A5C","#A2A4A3","#4B92DB",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png",NA,"Pac 12"
"57","Colorado St.","Colorado State","#1E4D2B","#C8C372",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png",NA,"MWC"
"58","Columbia","Columbia","#9BCBEB","#003865",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Columbia_Lions_logo.svg/206px-Columbia_Lions_logo.svg.png",NA,"Ivy"
"59","Coppin St.","Coppin State","#003056","#FFC915",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Coppin_State_Eagles_logo.svg/320px-Coppin_State_Eagles_logo.svg.png",NA,"MEAC"
"60","Cornell","Cornell","#B31B1B","#5E3920","#89572E","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Cornell_Big_Red_logo.svg/231px-Cornell_Big_Red_logo.svg.png",NA,"Ivy"
"61","Creighton","Creighton","#005CA9","#00235D","#6CADDE","#828282","#C8C8C8","#8A8D8F","https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/238px-Creighton_Bluejays_logo.svg.png",NA,"Big East"
"62","CSU Bakersfield","CSU Bakersfield","#005DAA","#FFD200",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Cal_State_Bakersfield_Roadrunners_logo.svg/320px-Cal_State_Bakersfield_Roadrunners_logo.svg.png",NA,"Big West"
"63","CSUN","CSU Northridge","#CE1126","#D1CEC6","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/51/CSUN_Matadors_logo.svg/188px-CSUN_Matadors_logo.svg.png",NA,"Big West"
"64","Dartmouth","Dartmouth","#046A38","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dartmouth_College_Big_Green_logo.svg/189px-Dartmouth_College_Big_Green_logo.svg.png",NA,"Ivy"
"65","Davidson","Davidson","#AC1A2F","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Davidson_Wildcats_logo.svg/240px-Davidson_Wildcats_logo.svg.png",NA,"A-10"
"66","Dayton","Dayton","#CE1141","#004B8D","#F80228","#0200D1",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png",NA,"A-10"
"67","Delaware","Delaware","#00539F","#FFD200",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Delaware_Fightin%27_Blue_Hens_logo.svg/320px-Delaware_Fightin%27_Blue_Hens_logo.svg.png",NA,"CAA"
"68","Delaware St.","Delaware State","#EE3124","#0099CC",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Delaware_State_Hornets_logo.svg/316px-Delaware_State_Hornets_logo.svg.png",NA,"MEAC"
"69","Denver","Denver","#8B2332","#8B6F4B",NA,NA,NA,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2172.png",NA,"Summit"
"70","DePaul","DePaul","#005EB8","#E4002B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/79/DePaul_Blue_Demons_logo.svg/150px-DePaul_Blue_Demons_logo.svg.png",NA,"Big East"
"71","Detroit Mercy","Detroit Mercy","#A6093D","#002D72","#D7D2CB",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Detroit_Titans_logo.svg/320px-Detroit_Titans_logo.svg.png",NA,"Horizon"
"72","Utah Tech","Dixie State","#BA1C21","#ADA1A2","#NA",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Utah_Tech_Trailblazers_logo_2022.svg/200px-Utah_Tech_Trailblazers_logo_2022.svg.png","881518","WAC"
"73","Drake","Drake","#004477","#999999",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png",NA,"MVC"
"74","Drexel","Drexel","#07294D","#FFC600",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Drexel_Dragons_logo.svg/308px-Drexel_Dragons_logo.svg.png",NA,"CAA"
"75","Duke","Duke","#001A57","#FFFFFF","#003366","#0736A4","#235F9C",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/200px-Duke_Athletics_logo.svg.png",NA,"ACC"
"76","Duquesne","Duquesne","#041E42","#BA0C2F","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/115px-Duquesne_Dukes.svg.png",NA,"A-10"
"77","East Carolina","ECU","#592A8A","#FDC82F",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/East_Carolina_Pirates_logo.svg/226px-East_Carolina_Pirates_logo.svg.png",NA,"AAC"
"78","Eastern Ill.","E Illinois","#003399","#B2B2B2",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Eastern_Illinois_Panthers_logo.svg/280px-Eastern_Illinois_Panthers_logo.svg.png",NA,"OVC"
"79","Eastern Ky.","E Kentucky","#4C151E","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Eastern_Kentucky_Colonels_logo.svg/320px-Eastern_Kentucky_Colonels_logo.svg.png",NA,"A-Sun"
"80","Eastern Mich.","E Michigan","#006633","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eastern_Michigan_Eagles_logo.svg/211px-Eastern_Michigan_Eagles_logo.svg.png",NA,"MAC"
"81","Eastern Wash.","E Washington","#A10022","#FFFFFF","#6D6E71",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Eastern_Washington_Eagles_logo.svg/257px-Eastern_Washington_Eagles_logo.svg.png",NA,"Big Sky"
"82","Elon","Elon","#73000A","#B59A57",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Elon_Phoenix_logo.svg/310px-Elon_Phoenix_logo.svg.png",NA,"CAA"
"83","ETSU","ETSU","#041E42","#FFC72C",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/East_Tennessee_State_Buccaneers_logo.svg/241px-East_Tennessee_State_Buccaneers_logo.svg.png",NA,"Southern"
"84","Evansville","Evansville","#52237F","#F36F21",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Evansville_Purple_Aces_logo.svg/320px-Evansville_Purple_Aces_logo.svg.png",NA,"MVC"
"85","Fairfield","Fairfield","#C8102E","#A2AAAD","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fairfield_Stags_logo.svg/272px-Fairfield_Stags_logo.svg.png",NA,"MAAC"
"86","Fairleigh Dickinson","Fair Dickinson","#A32638","#003F87",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/FDU_Knights_Logo.png/175px-FDU_Knights_Logo.png",NA,"NEC"
"87","FGCU","FGCU","#002D72","#007749","#B9975B",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Florida_Gulf_Coast_Eagles_logo.svg/320px-Florida_Gulf_Coast_Eagles_logo.svg.png",NA,"A-Sun"
"88","FIU","FIU","#081E3F","#B6862C",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/FIU_Panthers_logo.svg/185px-FIU_Panthers_logo.svg.png",NA,"C-USA"
"89","Fla. Atlantic","FAU","#003366","#CC0000","#8A8D8F","#CCCCCC",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/320px-Florida_Atlantic_Owls_logo.svg.png",NA,"C-USA"
