"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"272","Southern California","USC","#FFC72C","#990000","#FFC72C",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/161px-USC_Trojans_logo.svg.png",NA,"Pac 12"
"273","Southern Ill.","S Illinois","#720000","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Southern_Illinois_Salukis_logo.svg/320px-Southern_Illinois_Salukis_logo.svg.png",NA,"MVC"
"274","Southern Miss.","Southern Miss","#000000","#FFAB00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Southern_Miss_Athletics_logo.svg/320px-Southern_Miss_Athletics_logo.svg.png",NA,"Sunbelt"
"275","Southern U.","Southern","#69B3E7","#FFC72C",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Southern_Jaguars_logo.svg/273px-Southern_Jaguars_logo.svg.png",NA,"SWAC"
"276","Southern Utah","Southern Utah","#000000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/320px-Southern_Utah_Thunderbirds_logo.svg.png",NA,"WAC"
"277","St. Bonaventure","St Bonaventure","#54261A","#FDB726","#BDB6B0",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/320px-St._Bonaventure_Bonnies_logo.svg.png",NA,"A-10"
"278","St. Francis Brooklyn","St Francis (BKN)","#0038A8","#CE1126",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/e/e2/St._Francis_Brooklyn_Terriers_logo.svg",NA,"NEC"
"279","St. John's (NY)","St John's","#BA0C2F","#041C2C","#A7A8AA",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png",NA,"Big East"
"280","St. Thomas (MN)","St. Thomas - Minnesota","purple","white",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/08/St_thomas_tommies.jpg",NA,"Summit"
"281","Stanford","Stanford","#8C1515","#FFFFFF","#4D4F53","#2E2D29","#007662",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png",NA,"Pac 12"
"282","Stetson","Stetson","#006747","#B58150","#9E652E","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png",NA,"A-Sun"
"283","Stony Brook","Stony Brook","#990000","#16243E","#828282",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/320px-Stony_Brook_Seawolves_logo.svg.png",NA,"CAA"
"284","Syracuse","Syracuse","#D44500","#3E3D3C","#6F777D","#ADB3B8","#3E3D3C","#0D1D37","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png",NA,"ACC"
"285","Tarleton St.","Tarleton","#4F2D7F","white",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/56/Tarleton_State_athletics_logo.svg",NA,"WAC"
"286","TCU","TCU","#4D1979","#A3A9AC","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png",NA,"Big 12"
"287","Temple","Temple","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","#000000",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Temple_T_logo.svg/212px-Temple_T_logo.svg.png",NA,"AAC"
"288","Tennessee","Tennessee","#FF8200","#58595B","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png",NA,"SEC"
"289","Tennessee St.","Tennessee St","#00539F","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tennessee_State_Tigers_wordmark.svg/200px-Tennessee_State_Tigers_wordmark.svg.png",NA,"OVC"
"290","Tennessee Tech","Tenn Tech","#4F2984","#FFDD00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/315px-Tennessee_Tech_Golden_Eagles_logo.svg.png",NA,"OVC"
"291","Texas","Texas","#BF5700","#333F48","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png",NA,"Big 12"
"292","Texas A&M","Texas A&M","#500000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png",NA,"SEC"
"293","Texas Southern","Texas Southern","#6F263D","#A2AAAD",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Texas_Southern_Tigers_logo.svg/254px-Texas_Southern_Tigers_logo.svg.png",NA,"SWAC"
"294","Texas St.","Texas State","#501214","#8D734A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Texas_State_Bobcats_logo.svg/206px-Texas_State_Bobcats_logo.svg.png",NA,"Sunbelt"
"295","Texas Tech","Texas Tech","#CC0000","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/207px-Texas_Tech_Athletics_logo.svg.png",NA,"Big 12"
"296","The Citadel","The Citadel","#3975B7","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/0d/Correct_secondary_logo.png",NA,"Southern"
"297","Toledo","Toledo","#15397F","#005CB9","#FFDA00","#BEC6C3","#A0ACAA","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Toledo_Rockets_logo.svg/320px-Toledo_Rockets_logo.svg.png",NA,"MAC"
"298","Towson","Towson","#000000","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Towson_Tigers_logo.svg/320px-Towson_Tigers_logo.svg.png",NA,"CAA"
"299","Troy","Troy","#6D0017","#B2B3B5","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/34/Troy_Trojans_logo.svg",NA,"Sunbelt"
"300","Tulane","Tulane","#006747","#43B02A","#418FDE","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Tulane_Green_Wave_logo.svg/320px-Tulane_Green_Wave_logo.svg.png",NA,"AAC"
"301","Tulsa","Tulsa","#002D72","#C8102E","#C5B783","#F3D54E","#84754E",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Tulsa_Golden_Hurricane_logo.svg/319px-Tulsa_Golden_Hurricane_logo.svg.png",NA,"AAC"
"302","UAB","UAB","#006341","#CC8A00","#000000","#BF0D3E",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/UAB_Blazers_logo.svg/283px-UAB_Blazers_logo.svg.png",NA,"C-USA"
"303","UC Davis","UC Davis","#002855","#B3A369",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/13/UC_Davis_Aggies_logo.svg",NA,"Big West"
"304","UC Irvine","UC Irvine","#0C2340","#FFC72C",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/UC_Irvine_Anteaters_logo.svg/227px-UC_Irvine_Anteaters_logo.svg.png",NA,"Big West"
"305","UC Riverside","UC Riverside","#2D6CC0","#003066","#F1AB00","#7A6E67","#000000",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/UC_Riverside_Highlanders_logo.svg/240px-UC_Riverside_Highlanders_logo.svg.png",NA,"Big West"
"306","UC San Diego","UC San Diego","#182B49","#C69214",NA,NA,NA,NA,"https://ucsdtritons.com/images/logos/site/site.png","#006A96","Big West"
"307","UC Santa Barbara","UCSB","#004D9F","#FFB814",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/UC_Santa_Barbara_Gauchos_logo.svg/320px-UC_Santa_Barbara_Gauchos_logo.svg.png",NA,"Big West"
"308","UCF","UCF","#000000","#B7A369",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/299px-UCF_Knights_logo.svg.png",NA,"AAC"
"309","UCLA","UCLA","#2D68C4","#F2A900","#3284BF","#FFE800",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/UCLA_Bruins_script.svg/320px-UCLA_Bruins_script.svg.png",NA,"Pac 12"
"310","UConn","UConn","#000E2F","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/192px-Connecticut_Huskies_logo.svg.png",NA,"Big East"
"311","UIC","UIC","#AC1E2D","#041E42","#FACC09",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/a/a3/UIC_Flames_wordmark.svg",NA,"MVC"
"312","UIW","Incarnate Word","#CB333B","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Incarnate_Word_Cardinals_logo.svg/320px-Incarnate_Word_Cardinals_logo.svg.png",NA,"Southland"
"313","ULM","UL Monroe","#800029","#BD955A","#646469","#DAD86D",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Louisiana-Monroe_Warhawks_logo.svg/320px-Louisiana-Monroe_Warhawks_logo.svg.png",NA,"Sunbelt"
"314","UMass Lowell","UMass Lowell","#003DA5","#C8102E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/43/UMass_Lowell_River_Hawks_logo.svg/320px-UMass_Lowell_River_Hawks_logo.svg.png",NA,"Am. East"
"315","UMBC","UMBC","#B18906","#FFC20E","#000000","#ED1C24",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/UMBC_Retrievers_logo.svg/259px-UMBC_Retrievers_logo.svg.png",NA,"Am. East"
"316","UMES","MD-E Shore","#822433","#8B8D8E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Maryland_Eastern_Shore_Hawks_logo.svg/320px-Maryland_Eastern_Shore_Hawks_logo.svg.png",NA,"MEAC"
"317","UNC Asheville","UNC Asheville","#003DA5","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/93/UNC_Asheville_Bulldogs_logo.svg/320px-UNC_Asheville_Bulldogs_logo.svg.png",NA,"Big South"
"318","UNC Greensboro","UNCG","#0F2044","#FFB71B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/70/UNCG_Spartans_logo.svg/309px-UNCG_Spartans_logo.svg.png",NA,"Southern"
"319","UNCW","UNC Wilmington","#006666","#003366","#FFD600",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/UNC_Wilmington_Seahawks_logo.svg/211px-UNC_Wilmington_Seahawks_logo.svg.png",NA,"CAA"
"320","UNI","Northern Iowa","#4B116F","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Northern_Iowa_Panters_logo.svg/320px-Northern_Iowa_Panters_logo.svg.png",NA,"MVC"
"321","UNLV","UNLV","#B10202","#666666","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/UNLV_Rebels_wordmark.svg/320px-UNLV_Rebels_wordmark.svg.png",NA,"MWC"
"322","USC Upstate","USC Upstate","#00703C","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/USC_Upstate_Spartans_logo.svg/320px-USC_Upstate_Spartans_logo.svg.png",NA,"Big South"
"323","UT Arlington","UT Arlington","#F58025","#0064B1",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/35/UT_Arlington_Mavericks_logo.svg/310px-UT_Arlington_Mavericks_logo.svg.png",NA,"WAC"
"324","UT Martin","UT Martin","#002649","#F77F00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/UT_Martin_Skyhawks_logo.svg/299px-UT_Martin_Skyhawks_logo.svg.png",NA,"OVC"
"325","Utah","Utah","#CC0000","#808080","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Utah_Utes_logo.svg/263px-Utah_Utes_logo.svg.png",NA,"Pac 12"
"326","Utah St.","Utah State","#0F2439","#FFFFFF","#9D968D","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/317px-Utah_State_Aggies_logo.svg.png",NA,"MWC"
"327","Utah Valley","Utah Valley","#275D38","#000000","#8E8C89",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Utah_Valley_Wolverines_logo.svg/320px-Utah_Valley_Wolverines_logo.svg.png",NA,"WAC"
"328","UTEP","UTEP","#FF8200","#041E42","#B1B3B3",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/06/UTEP_Miners_logo.svg/238px-UTEP_Miners_logo.svg.png",NA,"C-USA"
"329","UTRGV","UT Rio Grande","#FFA300","#F05023","#00843D","#0C2340",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Texas%E2%80%93Rio_Grande_Valley_Vaqueros_logo.svg/320px-Texas%E2%80%93Rio_Grande_Valley_Vaqueros_logo.svg.png",NA,"WAC"
"330","UTSA","UTSA","#F15A22","#0C2340",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/UTSA_Roadrunners_logo.svg/320px-UTSA_Roadrunners_logo.svg.png",NA,"C-USA"
"331","Valparaiso","Valparaiso","#381E0E","#613318","#FFCC00",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/fb/Valparaiso_Crusaders_wordmark.svg",NA,"MVC"
"332","Vanderbilt","Vanderbilt","#000000","#866D4B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Vanderbilt_Commodores_logo.svg/246px-Vanderbilt_Commodores_logo.svg.png",NA,"SEC"
"333","VCU","VCU","#FFB300","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/VCU_Rams_logo.svg/320px-VCU_Rams_logo.svg.png",NA,"A-10"
"334","Vermont","Vermont","#154734","#8B5B29","#FFC72C","#C6AA76","#FF6A13","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Vermont_Catamounts_logo.svg/246px-Vermont_Catamounts_logo.svg.png",NA,"Am. East"
"335","Villanova","Villanova","#00205B","#13B5EA","#8B634B",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/269px-Villanova_Wildcats_logo.svg.png",NA,"Big East"
"336","Virginia","UVA","#232D4B","#F84C1E","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Virginia_Cavaliers_sabre.svg/320px-Virginia_Cavaliers_sabre.svg.png",NA,"ACC"
"337","Virginia Tech","Virginia Tech","#630031","#CF4420",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Virginia_Tech_Hokies_logo.svg/320px-Virginia_Tech_Hokies_logo.svg.png",NA,"ACC"
"338","VMI","VMI","#AE122A","#FFD619",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/VMI_Keydets_logo.svg/225px-VMI_Keydets_logo.svg.png",NA,"Southern"
"339","Wagner","Wagner","#004331","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Wagner_Seahawks_logo.svg/320px-Wagner_Seahawks_logo.svg.png",NA,"NEC"
"340","Wake Forest","Wake Forest","#A67F31","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wake_Forest_University_Athletic_logo.svg/320px-Wake_Forest_University_Athletic_logo.svg.png",NA,"ACC"
"341","Washington","Washington","#4B2E83","#B7A57A","#85754D",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/320px-Washington_Huskies_logo.svg.png",NA,"Pac 12"
"342","Washington St.","Washington St","#981E32","#5E6A71",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Washington_State_Cougars_logo.svg/252px-Washington_State_Cougars_logo.svg.png",NA,"Pac 12"
"343","Weber St.","Weber State","#A1A1A4","#130C0E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Weber_State_Wildcats_logo.svg/310px-Weber_State_Wildcats_logo.svg.png",NA,"Big Sky"
"344","West Virginia","West Virginia","#002855","#EAAA00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/233px-West_Virginia_Mountaineers_logo.svg.png",NA,"Big 12"
"345","Western Caro.","W Carolina","#592C88","#B9975B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Western_Carolina_Catamounts_logo.svg/290px-Western_Carolina_Catamounts_logo.svg.png",NA,"Southern"
"346","Western Ill.","W Illinois","#663399","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Western_Illinois_Leathernecks_logo.svg/249px-Western_Illinois_Leathernecks_logo.svg.png",NA,"Summit"
"347","Western Ky.","W Kentucky","#C60C30","#1E1E1E","#A2A4A3",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/WKU_Athletics_logo.svg/320px-WKU_Athletics_logo.svg.png",NA,"C-USA"
"348","Western Mich.","W Michigan","#6C4023","#B5A167","#AAA8AA","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/150px-Western_Michigan_Broncos_%282021%29_logo.svg.png",NA,"MAC"
"349","Wichita St.","Wichita State","#FFCD00","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Wichita_State_Shockers_logo.svg/288px-Wichita_State_Shockers_logo.svg.png",NA,"AAC"
"350","William & Mary","William & Mary","#115740","#F0B323","#D0D3D4",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/William_%26_Mary_Athletics_logo.svg/150px-William_%26_Mary_Athletics_logo.svg.png",NA,"CAA"
"351","Winthrop","Winthrop","#872434","#FFC82E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Winthrop_Eagles_logo.svg/274px-Winthrop_Eagles_logo.svg.png",NA,"Big South"
"352","Wisconsin","Wisconsin","#C5050C","#FFFFFF","#9B0000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Wisconsin_Badgers_logo.svg/254px-Wisconsin_Badgers_logo.svg.png",NA,"Big 10"
"353","Wofford","Wofford","#886E4C","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Wofford_Terriers_logo.svg/217px-Wofford_Terriers_logo.svg.png",NA,"Southern"
"354","Wright St.","Wright State","#026937","#CEA052","#FFE1A5","#DE6328",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Wright_State_Raiders_logo.svg/313px-Wright_State_Raiders_logo.svg.png",NA,"Horizon"
"355","Wyoming","Wyoming","#FFC425","#492F24",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wyoming_Athletics_logo.svg/138px-Wyoming_Athletics_logo.svg.png",NA,"MWC"
"356","Xavier","Xavier","#0C2340","#9EA2A2","#0099CC",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Xavier_Musketeers_logo.svg/301px-Xavier_Musketeers_logo.svg.png",NA,"Big East"
"357","Yale","Yale","#00356B","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Yale_Bulldogs_script.svg/1024px-Yale_Bulldogs_script.svg.png",NA,"Ivy"
"358","Youngstown St.","Youngstown St","#C8102E","#F3D54E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Youngstown_State_Penguins_logo.svg/320px-Youngstown_State_Penguins_logo.svg.png",NA,"Horizon"
"359","Queens (NC)","Queens University","#192C66","white",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Queens_Royals_primary_logo.svg/250px-Queens_Royals_primary_logo.svg.png",NA,"A-Sun"
"360","Lindenwood","Lindenwood","#101820","#B5A36A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lindenwood_Athletics_wordmark.svg/250px-Lindenwood_Athletics_wordmark.svg.png",NA,"OVC"
"361","Tex. A&M-Commerce","Texas A&M-Commerce","navy","gold",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg/200px-Texas_A%26M%E2%80%93Commerce_Lions_logo.svg.png",NA,"Southland"
"362","Southern Ind.","Southern Indiana","#CF102D","#002D5D",NA,NA,NA,NA,"https://sports.cbsimg.net/fly/images/ncaa/logos/team/light/161012.svg",NA,"OVC"
"363","Stonehill","Stonehill","purple","black",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Stonehill_Skyhawks_logo.svg/1200px-Stonehill_Skyhawks_logo.svg.png",NA,"NEC"
